"site","year","survey_area"
"5ryc6k02kkg6",1964,118
"tst584cfwi14",1964,239
"47k779797v3p",1964,283
"00zcgv6jrcky",1964,3924
"3422k4623g46",1964,1082
"6zj9591uj3nz",1964,871
"7t50qpx10e9r",1964,145
"e6e13fq529cr",1964,8260
"1159650094c4",1964,349
"7q9yysibwb36",1964,242
"1h654omg67r3",1964,461
"wzp930i54o8h",1964,300
"a59y7028phh1",1964,2169
"03yd0j2b7130",1964,130
"29bw7237el28",1964,3054
"08mjw6fx2qqi",1964,591
"93u9od2a9syk",1964,2600
"9fbl7x679697",1964,6700
"27xww2xh0yzp",1964,7000
"ji4hk9m4hj2d",1964,150
"j5s7l5c3743m",1964,3500
"f1x4ukdmwo7h",1964,4212
"u55ah941v1z9",1964,6994
"94740528agpu",1964,4800
"ayz065u7wo83",1964,4212
"2e0ma211p8l4",1964,1130
"08nrxyuxh3c4",1964,6031
"lksyha5v2s0o",1964,3160
"2449l04zeqli",1964,2000
"t16x09x9ol5k",1964,2400
"2u479a744o5w",1964,372
"0az2r176azy5",1964,1643
"6s0019l1h0r0",1964,1180
"1rm798tfkum2",1964,43623
"1a9rcpr6u7rr",1964,100
"isc1b9fy0945",1964,4616
"4mk7j74td073",1964,12475
"an1eo75f3ld9",1964,43
"s13td774qip8",1964,1802
"bwbku0n34v40",1964,1789
"3ny7zy5kain7",1964,7500
"b8zl5x4j9oq1",1964,50437
"y84xnagk0rsb",1964,596
"usbxis950lek",1964,6348
"ba529w1ib4od",1964,2088
"73g7hn60hr2j",1964,3780
"z113e030098b",1964,750
"s7355652kox4",1964,1065
"8v511c0fj94l",1964,844
"00566d88v1pc",1964,1083
"0dsk5526gxt6",1964,2000
"3fn5z2e5ls8g",1964,42
"ogbmv834hxyj",1964,5050
"om99m3vpsn60",1964,2197
"jbjqx1aqhipe",1964,310
"80iaejc3l928",1964,1477
"e19h205f1216",1964,105
"37784u8v714e",1964,200
"01509xj6j0rb",1964,36695
"rvlv60619p7t",1964,300
"w5rxij47u420",1964,43280
"t4i772j119ku",1964,3120
"r963gzn54da1",1964,1088
"752ybm10b46r",1964,150
"k8ko3467cl48",1964,31000
"7363z2929085",1964,128858
"bdf7a0408t4y",1964,78643
"1al4hc4485nx",1964,119377
"a4ucsp402h19",1964,149319
"xo6fde3ef843",1964,117714
"pe025fi0wm13",1964,138400
"74ii83d63xz0",1964,118996
"d110w042hexu",1964,100
"567a9e1mb3zt",1964,2596
"57z710a490q2",1964,2113
"44d1qumfjkcy",1964,802
"7mpiwx2iaa95",1964,88
"5pfq04t202r1",1964,422
"9fw2c32g32f0",1964,212
"xekycd8f4684",1964,5726
"bn02kvf55h04",1964,3800
"9vq589y3e7g2",1964,21869
"8x1z1t77473z",1964,191
"87995i9l448a",1964,4759
"y8i9fx7sr7nd",1964,150
"057jule1x010",1964,2223
"5xqe6hr66a9z",1964,16300
"q4ko6885wymh",1964,400
"z67f038c4104",1964,2753
"d8wu9nlf8z85",1964,8268
"54p3f2618vow",1964,81056
"61nxt86l6311",1964,18400
"239113mmx3qm",1964,3528
"3tk0xp04bkgt",1964,6984
"axaq0z3pr99b",1964,2200
"46s31l89089m",1964,3975
